Abbrev,Rxn_Name,Equation,Subsystem,Gene(s),References
ALDD2ym,"aldehyde dehydrogenase (acetylaldehyde, NADP), mitochondrial",[m] : acald + h2o + nadp --> ac + (2) h + nadph,Pyruvate Metabolism,"PAS_chr2-1_0506, PAS_chr3_0987, PAS_chr4_0043, PAS_chr4_0470",
ALLTAHr,"Allantoate amidinohydrolase, reversible",[c] : alltt + h2o <==> urdglyc + urea,Histidine Metabolism,PAS_chr2-1_0749,
ALLTNr,"allantoinase, reversible reaction",[c] : alltn + h2o <==> alltt + h,Histidine Metabolism,PAS_chr1-3_0023,
ALLTNti,allantoin irreversible uniport,alltn[e] --> alltn[c],"Transport, Extracellular",PAS_chr3_0022,
ALLTTti,allantoate irreversible uniport,alltt[e] --> alltt[c],"Transport, Extracellular",PAS_chr1-1_0287,
ALPHNH,allophanate hydrolase,[c] : allphn + (3) h + h2o --> (2) co2 + (2) nh4,Nitrogen Metabolism,PAS_chr4_0173,
AMETt2,S-adenosyl-L-methionine transport in via proton symport,amet[e] + h[e] --> amet[c] + h[c],"Transport, Extracellular",PAS_chr1-1_0203,
AMETtm,"S-Adenosyl-L-methionine reversible transport, mitochondrial",amet[c] <==> amet[m],"Transport, Mitochondrial",PAS_chr3_0036,
AMID,amidase,[c] : 4gudbd + h2o --> 4gudbutn + nh4,Arginine and Proline Metabolism,"PAS_chr2-1_0400, PAS_chr3_0283",
AMID2,amidase,[c] : h2o + pad --> nh4 + pac,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",PAS_chr3_0283,
AMID3,amidase,[c] : h2o + iad --> ind3ac + nh4,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",PAS_chr3_0283,
AMPDA,Adenosine monophosphate deaminase,[c] : amp + h + h2o --> imp + nh4,Purine and Pyrimidine Biosynthesis,PAS_c121_0009,
AMPN,AMP nucleosidase,[c] : amp + h2o --> ade + r5p,Nucleotide Salvage Pathway,PAS_c121_0009,
ANPRT,anthranilate phosphoribosyltransferase,[c] : anth + prpp --> ppi + pran,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",PAS_chr4_0294,
ANS,anthranilate synthase,[c] : chor + gln-L --> anth + glu-L + h + pyr,Glutamine Metabolism,"PAS_chr3_0962, PAS_chr2-1_0158",
AOD,Alcohol oxidase,[x] : metoh + o2 --> h2o2 + fald,Methanol Metabolism,PAS_chr4_0821,"[4], [5]"
AP4AHr,"Ap4A hydrolase, reversible",[c] : ap4a + h2o <==> (2) adp + (2) h,Purine and Pyrimidine Biosynthesis,PAS_chr2-1_0146,
ARAB14LO,"D-arabinono-1,4-lactone oxidase",[c] : Dara14lac + o2 <==> ertascb-D + h2o2,Arabinose Metabolism,PAS_chr2-1_0197,
ARAB1D2,D-arabinose 1-dehydrogenase (NAD-dependent),[c] : arab-D + nad --> Dara14lac + h + nadh,Arabinose Metabolism,PAS_chr2-1_0775,
ARAB-Lt,L-arabinoase extracellular transport,arab-L[e] <==> arab-L[c],"Transport, Extracellular",NA,
ARABR,arabinose reductase,[c] : arab-L + h + nadph --> abt + nadp,Arabinose Metabolism,"PAS_chr2-1_0573, PAS_chr3_0744",
ARGN,arginase,[c] : arg-L + h2o --> orn + urea,Arginine and Proline Metabolism,PAS_chr2-2_0288,
ARGSL,argininosuccinate lyase,[c] : argsuc <==> arg-L + fum,Arginine and Proline Metabolism,PAS_chr1-1_0389,
ARGSSr,"argininosuccinate synthase, reversible",[c] : asp-L + atp + citr-L <==> amp + argsuc + h + ppi,Arginine and Proline Metabolism,PAS_chr3_0216,
ARGt2r,L-arganine reversible transport via proton symport,arg-L[e] + h[e] <==> arg-L[c] + h[c],"Transport, Extracellular","PAS_chr1-4_0601, PAS_chr1-1_0030",
ARGt6,L-arginine transport in via proton antiport (vacuolar),arg-L[c] + h[v] --> arg-L[v] + h[c],"Transport, Vacuolar",PAS_chr3_0519,
ARGTRS,Arginyl-tRNA synthetase,[c] : arg-L + atp + trnaarg --> amp + argtrna + ppi,tRNA charging,PAS_chr3_0166,
ARGTRSm,"Arginyl-tRNA synthetase, mitochondrial",[m] : arg-L + atp + trnaarg --> amp + argtrna + ppi,tRNA charging,PAS_chr3_0166,
ARMT,hnRNP arginine N-methyltransferase,[c] : amet + his-L --> NPmehis + ahcys + h,Histidine Metabolism,PAS_chr1-3_0033,
ASADi,"aspartate-semialdehyde dehydrogenase, irreversible",[c] : 4pasp + h + nadph --> aspsa + nadp + pi,Alanine and Aspartate Metabolism,PAS_chr3_0471,
ASNN,L-asparaginase,[c] : asn-L + h2o --> asp-L + nh4,Asparagine metabolism,PAS_chr3_0591,
ASNNe,"L-asparaginase, extracellular",[e] : asn-L + h2o --> asp-L + nh4,Asparagine metabolism,PAS_chr2-2_0481,
ASNS1,asparagine synthase (glutamine-hydrolysing),[c] : asp-L + atp + gln-L + h2o --> amp + asn-L + glu-L + h + ppi,Alanine and Aspartate Metabolism,"PAS_chr3_0675, PAS_chr3_0199",
ASNt2r,L-asparagine reversible transport via proton symport,asn-L[e] + h[e] <==> asn-L[c] + h[c],"Transport, Extracellular","PAS_chr4_0287, PAS_chr1-4_0479, PAS_chr1-1_0203, PAS_chr1-1_0030",
ASNt6,L-asparagine transport in via proton antiport (vacuolar),asn-L[c] + h[v] --> asn-L[v] + h[c],"Transport, Vacuolar",PAS_chr3_0226,
ASNt7,"L-asparagine transport out via proton symport, vacuolar",asn-L[v] + h[v] --> asn-L[c] + h[c],"Transport, Vacuolar","PAS_chr3_0295, PAS_chr2-2_0343",
ASNTRS,Asparaginyl-tRNA synthetase,[c] : asn-L + atp + trnaasn --> amp + asntrna + ppi,tRNA charging,PAS_chr1-1_0390,
ASNTRSm,"asparaginyl-tRNA synthetase, miotchondrial",[m] : asn-L + atp + trnaasn --> amp + asntrna + ppi,tRNA charging,PAS_chr1-1_0392,
ASPCT,aspartate carbamoyltransferase,[c] : asp-L + cbp --> cbasp + h + pi,Purine and Pyrimidine Biosynthesis,PAS_chr2-2_0142,
ASPGLU2m,Aspartate-glutamate transporter,asp-L[m] + glu-L[c] --> asp-L[c] + glu-L[m],"Transport, Mitochondrial",PAS_chr3_0434,
ASPKi,"aspartate kinase, irreversible",[c] : asp-L + atp --> 4pasp + adp,Alanine and Aspartate Metabolism,PAS_chr4_0150,
ASPt2m,aspartate mitochondrial transport via proton symport,asp-L[c] + h[c] <==> asp-L[m] + h[m],"Transport, Mitochondrial",NA,
ASPt2n,aspartate nuclear transport via proton symport,asp-L[c] + h[c] <==> asp-L[n] + h[n],"Transport, Nuclear",NA,
ASPt2r,L-aspartate reversible transport via proton symport,asp-L[e] + h[e] <==> asp-L[c] + h[c],"Transport, Extracellular","PAS_chr4_0287, PAS_chr1-4_0601, PAS_chr1-1_0030",
ASPt5n,L-aspartate nuclear transport via diffusion,asp-L[n] <==> asp-L[c],"Transport, Nuclear",NA,
ASPt7,"L-aspartate transport out via proton symport, vacuolar",asp-L[v] + h[v] --> asp-L[c] + h[c],"Transport, Vacuolar",PAS_chr2-2_0160,
ASPTA,aspartate transaminase,[c] : akg + asp-L <==> glu-L + oaa,Alanine and Aspartate Metabolism,PAS_chr4_0974,
ASPTAm,aspartate transaminase,[m] : akg + asp-L <==> glu-L + oaa,Alanine and Aspartate Metabolism,PAS_chr1-1_0200,
ASPTAp,"aspartate transaminase, peroxisomal",[x] : akg + asp-L <==> glu-L + oaa,Alanine and Aspartate Metabolism,PAS_chr4_0974,
ASPTRS,Aspartyl-tRNA synthetase,[c] : asp-L + atp + trnaasp --> amp + asptrna + ppi,tRNA charging,PAS_chr1-4_0095,
ASPTRSm,"Aspartyl-tRNA synthetase, mitochondrial",[m] : asp-L + atp + trnaasp --> amp + asptrna + ppi,tRNA charging,PAS_chr4_0101,
ATHRDHr,L-allo-threonine dehydrogenase,[c] : athr-L + nadp <==> 2aobut + h + nadph,Threonine and Lysine Metabolism,PAS_chr3_0349,
ATP2tp_H,"AMP/ATP transporter, peroxisomal",amp[x] + atp[c] + h[x] --> amp[c] + atp[x] + h[c],"Transport, Peroxisomal",PAS_chr4_0347,
ATPATF1,ATP adenylyltransferase,[c] : adp + atp + h --> ap4a + pi,Purine and Pyrimidine Biosynthesis,PAS_chr1-1_0323,
ATPATF2,ATP adenylyltransferase,[c] : adp + gtp + h --> ap4g + pi,Purine and Pyrimidine Biosynthesis,PAS_chr1-1_0323,
ATPATF3,ATP adenylyltransferase,[c] : gdp + gtp + h --> gp4g + pi,Purine and Pyrimidine Biosynthesis,PAS_chr1-1_0323,
ATPH1,ATP diphosphohydrolase,[c] : atp + (2) h2o --> amp + (2) h + (2) pi,Nucleotide Salvage Pathway,PAS_chr1-1_0063,
ATPM,ATP maintenance requirement,[c] : atp + h2o --> adp + h + pi,ATP maintenance,NA,
ATPPRT,ATP phosphoribosyltransferase,[c] : atp + prpp --> ppi + prbatp,Histidine Metabolism,PAS_chr1-4_0234,
ATPS,"ATPase, cytosolic",atp[c] + h2o[c] --> adp[c] + h[e] + pi[c],"Transport, Extracellular",PAS_chr1-1_0002,
ATPS3g,"ATP synthase, Golgi Apparatus",adp[g] + (3) h[c] + pi[g] --> atp[g] + (2) h[g] + h2o[g],Oxidative Phosphorylation,PAS_chr3_0704+PAS_chr4_0990+PAS_chr1-1_0195+PAS_chr3_1236+PAS_chr2-1_0687+PAS_c131_0021+PAS_chr3_1040+PAS_chr1-3_0066+PAS_chr2-2_0227+PAS_chr4_0255+PAS_chr4_0674+PAS_chr1-1_0309+PAS_chr2-1_0246,
ATPS3m,"ATP synthase, mitochondrial",adp[m] + (3) h[c] + pi[m] --> atp[m] + (2) h[m] + h2o[m],Oxidative Phosphorylation,PAS_chr3_0576+PAS_chr3_0460+PAS_chr1-4_0465+PAS_chr3_0819+PAS_chr2-2_0165+PAS_chr1-1_0315+PAS_chr1-1_0191+PAS_chr1-4_0445+PAS_chr2-1_0751+PAS_chr3_0059+PAS_chr4_0892+PAS_chr2-2_0119,
ATPS3v,"ATP synthase, vacuole",adp[v] + (3) h[c] + pi[v] --> atp[v] + (2) h[v] + h2o[v],Oxidative Phosphorylation,PAS_chr3_1093+PAS_chr3_0704+PAS_chr4_0990+PAS_chr1-1_0195+PAS_chr3_1236+PAS_c131_0021+PAS_chr2-1_0687+PAS_chr3_1040+PAS_chr2-2_0227+PAS_chr4_0255+PAS_chr1-1_0309+PAS_chr4_0674+PAS_chr2-1_0246,
ATPtm-H,"ADP/ATP transporter, mitochondrial",adp[c] + atp[m] + h[c] --> adp[m] + atp[c] + h[m],"Transport, Mitochondrial",PAS_chr4_0210,
ATPtp-H,"ADP/ATP transporter, peroxisomal",adp[x] + atp[c] + h[x] --> adp[c] + atp[x] + h[c],"Transport, Peroxisomal",PAS_chr4_0347,
BACCL,biotin-[acetyl-CoA-carboxylase] ligase,[c] : atp + btn + h --> btamp + ppi,Pantothenate and CoA Biosynthesis,PAS_chr3_0569,
BIOMASS,Pichia Biomass requirement,(1.701) 13BDglcn[c] + (0.349) ala_L[c] + (0.051) amp[c] + (0.22) arg_L[c] + (0.143) asn_L[c] + (0.143) asp_L[c] + (20.4) atp[c] + (0.000001) camp[c] + (0.000001) chitin[c] + (0.0001) clpn_PP[m] + (0.05) cmp[c] + (0.000001) coa[c] + (0.0049) cys_L[c] + (0.00118) damp[c] + (0.000822) dcmp[c] + (0.000822) dgmp[c] + (0.00118) dtmp[c] + (0.0007) epist[c] + (0.0388) ergst[c] + (0.000001) fad[c] + (0.0007) fecost[c] + (0.303) gln_L[c] + (0.303) glu_L[c] + (0.233) gly[c] + (0.1689) glycogen[c] + (0.051) gmp[c] + (0.000001) gthrd[c] + (20.4) h2o[c] + (0.0585) his_L[c] + (0.135) ile_L[c] + (0.0002) lanost[c] + (0.228) leu_L[c] + (0.207) lys_L[c] + (0.025) met_L[c] + (0.000001) nad[c] + (0.05) orn[c] + (0.00008) pa_PP[c] + (0.0072) pc_PP[c] + (0.0039) pe_PP[c] + (0.099) phe_L[c] + (0.000001) pheme[m] + (0.12) pro_L[c] + (0.00008) ps_PP[c] + (0.0002) ptd1ino_PP[c] + (0.000001) q6[m] + (0.21) ser_L[c] + (0.000001) thf[c] + (0.000001) thm[c] + (0.189) thr_L[c] + (0.0096) tre[c] + (0.0356) triglyc_PP[c] + (0.0457) trp_L[c] + (0.0696) tyr_L[c] + (0.067) ump[c] + (0.182) val_L[c] + (0.002) zymst[c] --> (20.4) adp[c] + (20.4) h[c] + (20.4) pi[c],Biomass requirement,NA,
BPNT,"3',5'-bisphosphate nucleotidase",[c] : h2o + pap --> amp + pi,Cysteine Metabolism,PAS_chr2-1_0547,
BTDD-RR,"(R,R)-butanediol dehydrogenase",[c] : btd-RR + nad <==> actn-R + h + nadh,Alternate Carbon Metabolism,PAS_chr1-1_0490,
BTDt-RR,"(R,R)-butanediol transport",btd-RR[c] <==> btd-RR[e],"Transport, Extracellular",NA,
BTNt2i,Biotin uptake,btn[e] + h[e] --> btn[c] + h[c],"Transport, Extracellular",PAS_c034_0024,
BTSr,biotin synthase,[c] : dtbt + s <==> btn + (2) h,Pantothenate and CoA Biosynthesis,PAS_chr1-3_0052,
C14STR,C-14 sterol reductase,[c] : 44mctr + h + nadph --> 44mzym + nadp,Sterol Metabolism,PAS_chr1-1_0411,
C22STDS,C-22 sterol desaturase (NADP),[c] : ergtrol + h + nadph + o2 --> ergtetrol + (2) h2o + nadp,Sterol Metabolism,"PAS_chr4_0806, PAS_chr3_0507",
C22STDSx,C-22 sterol desaturase (NAD),[c] : ergtrol + h + nadh + o2 --> ergtetrol + (2) h2o + nad,Sterol Metabolism,"PAS_chr4_0953, PAS_chr3_0507, PAS_chr4_0737, PAS_chr4_0149",
C24STRer,"C-s24 sterol reductase, endoplamic reticular",[r] : ergtetrol + h + nadph --> ergst + nadp,Sterol Metabolism,PAS_chr4_0063,
C3STDH1,C-3 sterol dehydrogenase (4-methylzymosterol),[c] : 4mzym_int1 + nad --> 4mzym_int2 + co2 + h + nadh,Sterol Metabolism,PAS_chr1-4_0604,
C3STDH2,C-3 sterol dehydrogenase (zymosterol),[c] : nad + zym_int1 --> co2 + h + nadh + zym_int2,Sterol Metabolism,PAS_chr1-4_0604,
C3STKR1,C-3 sterol keto reductase (4-methylzymosterol),[c] : 4mzym_int2 + h + nadph --> 4mzym + nadp,Sterol Metabolism,PAS_chr2-1_0628,
C3STKR2,C-3 sterol keto reductase (zymosterol),[c] : h + nadph + zym_int2 --> nadp + zymst,Sterol Metabolism,PAS_chr2-1_0628,
C4STMO1,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",[c] : 44mzym + (3) h + (3) nadph + (3) o2 --> 4mzym_int1 + (4) h2o + (3) nadp,Sterol Metabolism,PAS_chr3_0053,
C4STMO2,C-4 sterol methyl oxidase (4-methylzymosterol),[c] : 4mzym + (3) h + (3) nadph + (3) o2 --> (4) h2o + (3) nadp + zym_int1,Sterol Metabolism,PAS_chr3_0053,
C5STDS,C-5 sterol desaturase,[c] : epist + h + nadph + o2 --> ergtrol + (2) h2o + nadp,Sterol Metabolism,PAS_chr1-4_0367,
C8STI,C-8 sterol isomerase,[c] : fecost --> epist,Sterol Metabolism,PAS_chr4_0198,
CAT,catalase,[c] : (2) h2o2 --> (2) h2o + o2,Other,PAS_chr2-2_0131,[8]
CATp,catalase,[x] : (2) h2o2 --> (2) h2o + o2,Methanol Metabolism,PAS_chr2-2_0131,[8]
CBPS,carbamoyl-phosphate synthase (glutamine-hydrolysing),[c] : (2) atp + gln-L + h2o + hco3 --> (2) adp + cbp + glu-L + (2) h + pi,Arginine and Proline Metabolism,"PAS_chr4_0138+PAS_chr3_0799, PAS_chr2-2_0142",
CCP2m,"Cytochrome c peroxidase, mitochondrial",[m] : (2) focytc + h2o2 --> (2) ficytc + (2) h2o,Oxidative Phosphorylation,"PAS_chr4_0018, PAS_chr2-2_0127",
CDPDGPm_PP,"CDP-diacylglycerol--serine O-phosphatidyltransferae, yeast-specific, mitochondrial",[m] : cdpdag_PP + glyc3p <==> cmp + h + pgp_PP,Phospholipid Biosynthesis,PAS_chr1-3_0238,
CERASE124er,"alkaline ceramidase (ceramide-1), endoplasmic reticulum",[r] : cer1_24 + coa + h --> sphgn + ttccoa,Sphingolipid Metabolism,PAS_chr2-2_0252,
CERASE126er,"alkaline ceramidase (ceramide-1), endoplasmic reticulum",[r] : cer1_26 + coa + h --> hexccoa + sphgn,Sphingolipid Metabolism,PAS_chr2-2_0252,
CERASE224er,"alkaline ceramidase (ceramide-2), endoplasmic reticulum",[r] : cer2_24 + coa + h --> psphings + ttccoa,Sphingolipid Metabolism,PAS_chr2-2_0252,
CERASE226er,"alkaline ceramidase (ceramide-2), endoplasmic reticulum",[r] : cer2_26 + coa + h --> hexccoa + psphings,Sphingolipid Metabolism,PAS_chr2-2_0252,
CERH124,Ceramide-1 hydroxylase (24C),[c] : cer1_24 + h + nadph + o2 --> cer2_24 + h2o + nadp,Sphingolipid Metabolism,PAS_chr3_0425,
CERH126,Ceramide-1 hydroxylase (26C),[c] : cer1_26 + h + nadph + o2 --> cer2_26 + h2o + nadp,Sphingolipid Metabolism,PAS_chr3_0425,
CERS124,Ceramide-1 synthase (24C),[c] : sphgn + ttccoa --> cer1_24 + coa + h,Sphingolipid Metabolism,PAS_chr1-1_0358,
CERS124er,"Ceramide-1 synthase (24C), endoplasmic reticular",[r] : sphgn + ttccoa --> cer1_24 + coa + h,Sphingolipid Metabolism,"PAS_chr1-1_0358, PAS_chr2-2_0252",
CERS126,Ceramide-1 synthase (26C),[c] : hexccoa + sphgn --> cer1_26 + coa + h,Sphingolipid Metabolism,PAS_chr1-1_0358,
CERS126er,"Ceramide-1 synthase (26C), endoplasmic reticular",[r] : hexccoa + sphgn --> cer1_26 + coa + h,Sphingolipid Metabolism,"PAS_chr1-1_0358, PAS_chr2-2_0252",
CERS224,Ceramide-2 synthase (24C),[c] : psphings + ttccoa --> cer2_24 + coa + h,Sphingolipid Metabolism,PAS_chr1-1_0358,
CERS2'24,Ceramide-2' synthase (24C),[c] : cer1_24 + h + nadph + o2 --> cer2'_24 + h2o + nadp,Sphingolipid Metabolism,PAS_chr3_0535,
CERS224er,"Ceramide-2 synthase (24C), endoplasmic reticular",[r] : psphings + ttccoa --> cer2_24 + coa + h,Sphingolipid Metabolism,"PAS_chr1-1_0358, PAS_chr2-2_0252",
CERS226,Ceramide-2 synthase (26C),[c] : hexccoa + psphings --> cer2_26 + coa + h,Sphingolipid Metabolism,PAS_chr1-1_0358,
CERS2'26,Ceramide-2' synthase (26C),[c] : cer1_26 + h + nadph + o2 --> cer2'_26 + h2o + nadp,Sphingolipid Metabolism,PAS_chr3_0535,
CERS226er,"Ceramide-2 synthase (26C), endoplasmic reticular",[r] : hexccoa + psphings --> cer2_26 + coa + h,Sphingolipid Metabolism,"PAS_chr1-1_0358, PAS_chr2-2_0252",
CERS324,Ceramide-3 synthase (24C),[c] : cer2_24 + h + nadph + o2 --> cer3_24 + h2o + nadp,Sphingolipid Metabolism,PAS_chr3_0535,
CERS326,Ceramide-3 synthase (26C),[c] : cer2_26 + h + nadph + o2 --> cer3_26 + h2o + nadp,Sphingolipid Metabolism,PAS_chr3_0535,
CHLPCTD,choline phosphate cytididyltransferase,[c] : cholp + ctp + h --> cdpchol + ppi,Phospholipid Biosynthesis,PAS_chr2-2_0401,
CHLt2,choline transport via proton symport,chol[e] + h[e] --> chol[c] + h[c],"Transport, Extracellular",PAS_chr3_0511,
CHOLK,Choline kinase,[c] : atp + chol --> adp + cholp + h,Phospholipid Biosynthesis,PAS_chr1-4_0390,
CHORM,chorismate mutase,[c] : chor --> pphn,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",PAS_chr4_0050,
CHORS,chorismate synthase,[c] : 3psme --> chor + pi,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",PAS_chr2-1_0637,
CHRPL,Chorismate pyruvate lyase,[c] : chor --> 4hbz + pyr,Quinone Biosynthesis,NA,
CHTNDA,chitin deacetylase,[c] : chitin + h2o --> ac + chitos + h,Glutamate metabolism,PAS_chr1-1_0103,
CHTNS,chitin synthase,[c] : udpacgam --> chitin + h + udp,Glutamate metabolism,"PAS_chr1-1_0393, PAS_chr2-2_0094, PAS_chr2-1_0065",
CITt2r,citrate reversible transport via symport,cit[e] + h[e] <==> cit[c] + h[c],"Transport, Extracellular",NA,
CITtam,"citrate transport, mitochondrial",cit[c] + mal-L[m] <==> cit[m] + mal-L[c],"Transport, Mitochondrial",PAS_chr3_0177,
CITtbm,"citrate transport, mitochondrial",cit[c] + pep[m] <==> cit[m] + pep[c],"Transport, Mitochondrial",PAS_chr3_0177,
CITtcm,"citrate transport, mitochondrial",cit[c] + icit[m] <==> cit[m] + icit[c],"Transport, Mitochondrial",PAS_chr3_0177,
CLPNSm_PP,"cardiolipin synthase, yeast-specific, mitochondrial",[m] : cdpdag_PP + pg_PP --> clpn_PP + cmp + h,Phospholipid Biosynthesis,PAS_chr3_0570,
CO2t,CO2 transporter via diffusion,co2[e] <==> co2[c],"Transport, Extracellular",NA,
CO2tm,"CO2 transport (diffusion), mitochondrial",co2[c] <==> co2[m],"Transport, Mitochondrial",NA,
CO2tn,CO2 nuclear transport via diffusion,co2[n] <==> co2[c],"Transport, Nuclear",NA,
CO2tv,CO2 vacuolar transport,co2[c] <==> co2[v],"Transport, Vacuolar",NA,
COAHLp,CoA hydrolase (peroxisomal),[x] : coa + h2o --> (2) h + pan4p + pap,Pantothenate and CoA Biosynthesis,PAS_chr3_0578,
COAtim,"CoA transporter (mitochondrial), irreversible",coa[c] --> coa[m],"Transport, Mitochondrial",PAS_chr1-3_0250,
COUCOAFm,p-coumaroyl-CoA formation,[m] : T4hcinnm + atp + coa --> amp + coucoa + ppi,Quinone Biosynthesis,NA,
CPPPGO,coproporphyrinogen oxidase (O2 required),[c] : cpppg3 + (2) h + o2 --> (2) co2 + (2) h2o + pppg9,Porphyrin and Chlorophyll Metabolism,PAS_chr3_0943,
CRNCARtm,"carnithine-acetylcarnithine carrier, mitochondrial",acrn[c] + crn[m] --> acrn[m] + crn[c],"Transport, Mitochondrial",PAS_chr2-2_0355,
CRNt,L-carnitine reversible transport,crn[e] <==> crn[c],"Transport, Extracellular",PAS_chr2-1_0049,
CRNtim,L-carnitine transport out of mitochondria via diffusion,crn[m] --> crn[c],"Transport, Mitochondrial",NA,
CSm,citrate synthase,[m] : accoa + h2o + oaa --> cit + coa + h,Citric Acid Cycle,PAS_chr1-1_0475,
CSNATm,"carnitine O-aceyltransferase, mitochondrial",[m] : acrn + coa <==> accoa + crn,Fatty Acid Metabolism,PAS_chr3_0069,
CSNATp,"carnitine O-acetyltransferase, reverse direction, peroxisomal",[x] : accoa + crn <==> acrn + coa,Fatty Acid Metabolism,PAS_chr3_0069,
CSNATr,carnitine O-acetyltransferase,[c] : accoa + crn <==> acrn + coa,Fatty Acid Metabolism,"PAS_chr1-4_0074, PAS_chr3_0761",
CSND,Cytosine deaminase,[c] : csn + h + h2o --> nh4 + ura,Purine and Pyrimidine Biosynthesis,PAS_chr2-1_0047,
CSNt2,cytosine transport in via proton symport,csn[e] + h[e] --> csn[c] + h[c],"Transport, Extracellular","PAS_chr1-3_0153, PAS_chr4_0514",
CSp,citrate synthase,[x] : accoa + h2o + oaa --> cit + coa + h,Citric Acid Cycle,PAS_chr1-1_0475,
CTPS1,CTP synthase (NH3),[c] : atp + nh4 + utp --> adp + ctp + (2) h + pi,Purine and Pyrimidine Biosynthesis,PAS_chr4_0994,
CTPS2,CTP synthase (glutamine),[c] : atp + gln-L + h2o + utp --> adp + ctp + glu-L + (2) h + pi,Purine and Pyrimidine Biosynthesis,PAS_chr4_0994,
CTPtm,CTP/CMP antiport,cmp[m] + ctp[c] + (2) h[c] --> cmp[c] + ctp[m] + (2) h[m],"Transport, Mitochondrial",PAS_chr1-4_0423,
CYOOm,"cytochrome c oxidase, mitochondrial",(4) focytc[m] + (8) h[m] + o2[m] --> (4) ficytc[m] + (4) h[c] + (2) h2o[m],Oxidative Phosphorylation,PAS_chr4_0018,
CYOR_u6m,ubiquinol-6 cytochrome c reductase,(2) ficytc[m] + (2) h[m] + q6h2[m] --> (2) focytc[m] + (4) h[c] + q6[m],Oxidative Phosphorylation,PAS_chr4_0018,
CYSS,cysteine synthase,[c] : acser + h2s --> ac + cys-L + h,Cysteine Metabolism,PAS_chr1-3_0273,
CYSt2r,L-cysteine reversible transport via proton symport,cys-L[e] + h[e] <==> cys-L[c] + h[c],"Transport, Extracellular","PAS_chr1-4_0479, PAS_chr1-1_0203, PAS_chr1-1_0030",
CYSTGL,cystathionine g-lyase,[c] : cyst-L + h2o --> 2obut + cys-L + nh4,Methionine Metabolism,PAS_chr1-4_0489,
CYSTGS,Cystathionine gamma-synthase,[c] : achms + cys-L --> ac + cyst-L + h,Methionine Metabolism,PAS_chr2-1_0752,
CYSTL,cystathionine b-lyase,[c] : cyst-L + h2o --> hcys-L + nh4 + pyr,Methionine Metabolism,PAS_chr2-1_0358,
CYSTLp,"cystathione b-lyase, peroxisomal",[x] : cyst-L + h2o --> hcys-L + nh4 + pyr,Methionine Metabolism,PAS_chr2-1_0358,
CYSTRS,Cysteinyl-tRNA synthetase,[c] : atp + cys-L + trnacys --> amp + cystrna + ppi,tRNA charging,PAS_chr1-4_0514,
CYSTS,cystathionine beta-synthase,[c] : hcys-L + ser-L --> cyst-L + h2o,Glycine and Serine Metabolism,PAS_chr2-2_0137,
CYTD,cytidine deaminase,[c] : cytd + h + h2o --> nh4 + uri,Purine and Pyrimidine Biosynthesis,PAS_chr3_0726,
CYTDK2,cytidine kinase (GTP),[c] : cytd + gtp --> cmp + gdp + h,Nucleotide Salvage Pathway,PAS_chr2-1_0770,
CYTDt2,cytidine transport in via proton symport,cytd[e] + h[e] --> cytd[c] + h[c],"Transport, Extracellular",PAS_chr2-1_0257,
CYTK1,cytidylate kinase (CMP),[c] : atp + cmp <==> adp + cdp,Nucleotide Salvage Pathway,NA,
CYTK2,cytidylate kinase (dCMP),[c] : atp + dcmp <==> adp + dcdp,Nucleotide Salvage Pathway,NA,
DADK,deoxyadenylate kinase,[c] : atp + damp <==> adp + dadp,Nucleotide Salvage Pathway,NA,
DADNt2,deoxyadenosine transport in via proton symport,dad-2[e] + h[e] --> dad-2[c] + h[c],"Transport, Extracellular",NA,
DAGCPT_PP,"diacylglycerol cholinephosphotransferase, yeast-specific",[c] : 12dgr_PP + cdpchol --> cmp + h + pc_PP,Phospholipid Biosynthesis,PAS_chr2-2_0357,
DAGPYP_PP,"diacylglycerol pyrophosphate phosphatase, yeast-specific",[c] : h2o + pa_PP --> 12dgr_PP + pi,Phospholipid Biosynthesis,"PAS_chr1-1_0498, PAS_chr3_0198",
DAK,Dihydroxyacetone kinase,[c] : dha + atp --> dhap + adp + (2) h,Methanol Metabolism,PAS_chr3_0841,[11]
DAS,Dihydroxyacetone synthase,[x] : fald + xu5p-D <==> dha + g3p,Methanol Metabolism,"RPPA08664, RPPA08885, RPPA07226",
DASYN_PP,"CDP-Diacylglycerol synthetase, yeast-specific",[c] : ctp + h + pa_PP <==> cdpdag_PP + ppi,Phospholipid Biosynthesis,PAS_chr2-2_0044,
DASYNm_PP,"CDP-Diacylglycerol synthetase, yeast-specific, mitochondrial",[m] : ctp + h + pa_PP <==> cdpdag_PP + ppi,Phospholipid Biosynthesis,PAS_chr2-2_0044,
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",[c] : ru5p-D --> db4p + for + h,Riboflavin Metabolism,PAS_chr3_0167,
DCMPDA,dCMP deaminase,[c] : dcmp + h + h2o <==> dump + nh4,Purine and Pyrimidine Biosynthesis,PAS_chr1-1_0163,
